region,Date,Effectif de la population,Population rurale,Population urbaine,Taux d'urbanisation,Nombre de ménages ruraux,Nombre de ménages urbains,Taille moyenne des ménages,Taille moyenne des ménages ruraux,Taille moyenne des ménages urbains,Superficie Perdue,risque déforestation
Tambacounda,1971,258972.8416867,226217.5924196,32755.2492671,12.6481407,50814.076665393215,40063.57542091164,7.9079812999999985,9.19114773197281,7.9478868372972995,1397.219152134106,0
Tambacounda,1972,265447.16272890003,231217.9272448,34229.2354841,12.8949336,50814.076665393215,40063.57542091164,7.9079812999999985,9.19114773197281,7.9478868372972995,1397.219152134106,0
Tambacounda,1973,272083.34179710003,236313.7907162,35769.551080900004,13.1465421,50814.076665393215,40063.57542091164,7.9079812999999985,9.19114773197281,7.9478868372972995,1397.219152134106,0
Tambacounda,1974,278885.4253421,241506.2444625,37379.1808796,13.40306,50814.076665393215,40063.57542091164,7.9079812999999985,9.19114773197281,7.9478868372972995,1397.219152134106,0
Tambacounda,1975,285857.5609756,246796.3169565,39061.2440191,13.6645831,50814.076665393215,40063.57542091164,7.9079812999999985,9.19114773197281,7.9478868372972995,1397.219152134106,0
Tambacounda,1976,293004.0,252185.0,40819.0,13.931209099999998,50814.076665393215,40063.57542091164,7.9079812999999985,9.19114773197281,7.9478868372972995,1397.219152134106,0
Tambacounda,1977,300002.40054,257779.839225,42222.561315,14.0740745,50814.076665393215,40063.57542091164,7.9079812999999985,9.19114773197281,7.9478868372972995,1397.219152134106,0
Tambacounda,1978,307167.9578769,263493.5737911,43674.3840858,14.2184049,50814.076665393215,40063.57542091164,7.9079812999999985,9.19114773197281,7.9478868372972995,1397.219152134106,0
Tambacounda,1979,314504.6645508,269328.5367682,45176.1277826,14.3642155,50814.076665393215,40063.57542091164,7.9079812999999985,9.19114773197281,7.9478868372972995,1397.219152134106,0
Tambacounda,1980,322016.6084636,275287.09952720004,46729.5089364,14.5115214,50814.076665393215,40063.57542091164,7.9079812999999985,9.19114773197281,7.9478868372972995,1397.219152134106,0
Tambacounda,1981,329707.9751567,281371.6720555,48336.3031012,14.660337900000002,50814.076665393215,40063.57542091164,7.9079812999999985,9.19114773197281,7.9478868372972995,1397.219152134106,0
Tambacounda,1982,337583.0501434,287584.70326,49998.3468833,14.8106805,50814.076665393215,40063.57542091164,7.9079812999999985,9.19114773197281,7.9478868372972995,1397.219152134106,0
Tambacounda,1983,345646.221296,293928.68125509995,51717.54004090001,14.9625649,50814.076665393215,40063.57542091164,7.9079812999999985,9.19114773197281,7.9478868372972995,1397.219152134106,0
Tambacounda,1984,353901.9812917001,300406.1336365,53495.8476552,15.1160068,50814.076665393215,40063.57542091164,7.9079812999999985,9.19114773197281,7.9478868372972995,1397.219152134106,0
Tambacounda,1985,362354.9301148,307019.627738,55335.3023768,15.2710224,50814.076665393215,40063.57542091164,7.9079812999999985,9.19114773197281,7.9478868372972995,1397.219152134106,0
Tambacounda,1986,371009.7776206,313771.7708716,57238.00674909999,15.4276276,50814.076665393215,40063.57542091164,7.9079812999999985,9.19114773197281,7.9478868372972995,1397.219152134106,0
Tambacounda,1987,379871.3461591,320665.210548,59206.13561109999,15.5858388,50814.076665393215,40063.57542091164,7.9079812999999985,9.19114773197281,7.9478868372972995,1397.219152134106,0
Tambacounda,1988,388946.0,327704.0,61242.0,15.7456305,50814.076665393215,40063.57542091164,7.9079812999999985,9.19114773197281,7.9478868372972995,1397.219152134106,0
Tambacounda,1989,398732.270306,335146.477724,63585.792582,15.9469893,50814.076665393215,40063.57542091164,7.9079812999999985,9.19114773197281,7.9478868372972995,1397.219152134106,0
Tambacounda,1990,408760.7856365,342748.9407243,66011.8449122,16.1492607,50814.076665393215,40063.57542091164,7.9079812999999985,9.19114773197281,7.9478868372972995,1397.219152134106,0
Tambacounda,1991,419022.7251599,350502.430141,68520.29501880001,16.3524055,50814.076665393215,40063.57542091164,7.9079812999999985,9.19114773197281,7.9478868372972995,1397.219152134106,0
Tambacounda,1992,429454.7149254,358352.0955482,71102.6193772,16.556488199999997,50814.076665393215,40063.57542091164,7.9079812999999985,9.19114773197281,7.9478868372972995,1397.219152134106,0
Tambacounda,1993,440082.4307557,366317.729309,73764.7014467,16.7615647,50814.076665393215,40063.57542091164,7.9079812999999985,9.19114773197281,7.9478868372972995,1397.219152134106,0
Tambacounda,1994,450930.4626738,374418.5424512,76511.9202227,16.9675652,50814.076665393215,40063.57542091164,7.9079812999999985,9.19114773197281,7.9478868372972995,1397.219152134106,0
Tambacounda,1995,462045.8985787,382684.4449112,79361.4536675,17.1760974,50814.076665393215,40063.57542091164,7.9079812999999985,9.19114773197281,7.9478868372972995,1397.219152134106,0
Tambacounda,1996,470800.0,390717.0,80083.0,17.2,50814.076665393215,40063.57542091164,7.9079812999999985,9.19114773197281,7.9478868372972995,1397.219152134106,0
Tambacounda,1997,482287.0,399473.0,82814.0,17.1711035,50814.076665393215,40063.57542091164,7.9079812999999985,9.19114773197281,7.9478868372972995,1397.219152134106,0
Tambacounda,1998,493999.0,408374.0,85625.0,17.333031,50814.076665393215,40063.57542091164,7.9079812999999985,9.19114773197281,7.9478868372972995,1397.219152134106,0
Tambacounda,1999,505924.0,417409.0,88515.0,17.4957108,50814.076665393215,40063.57542091164,7.9079812999999985,9.19114773197281,7.9478868372972995,1397.219152134106,0
Tambacounda,2000,518040.0,426558.0,91482.0,17.659254100000005,50814.076665393215,40063.57542091164,7.9079812999999985,9.19114773197281,7.9478868372972995,1397.219152134106,0
Thies,1970,593967.3272109,440614.7087981,153352.6184128,25.8183593,50814.076665393215,40063.57542091164,7.9079812999999985,9.19114773197281,7.9478868372972995,4.848787940979004,0
Thies,1971,608816.5103912,448563.0241498,160253.4862414,26.3221321,50814.076665393215,40063.57542091164,7.9079812999999985,9.19114773197281,7.9478868372972995,4.848787940979004,0
Thies,1972,624036.923151,456572.0300287,167464.89312229998,26.8357347,50814.076665393215,40063.57542091164,7.9079812999999985,9.19114773197281,7.9478868372972995,4.848787940979004,0
Thies,1973,639637.8462297,464637.032917,175000.8133128,27.3593588,50814.076665393215,40063.57542091164,7.9079812999999985,9.19114773197281,7.9478868372972995,4.848787940979004,0
Thies,1974,655628.7923854999,472752.9424736,182875.8499119,27.89319990000001,50814.076665393215,40063.57542091164,7.9079812999999985,9.19114773197281,7.9478868372972995,4.848787940979004,0
Thies,1975,672019.5121951001,480914.2490372,191105.2631579,28.4374575,50814.076665393215,40063.57542091164,7.9079812999999985,9.19114773197281,7.9478868372972995,4.848787940979004,0
Thies,1976,688820.0,489115.0,199705.0,28.9923347,50814.076665393215,40063.57542091164,7.9079812999999985,9.19114773197281,7.9478868372972995,4.848787940979004,0
Thies,1977,707422.27292,499630.618355,207791.654565,29.3730721,50814.076665393215,40063.57542091164,7.9079812999999985,9.19114773197281,7.9478868372972995,4.848787940979004,0
Thies,1978,726526.9188225,510321.1567892,216205.7620333,29.7588095,50814.076665393215,40063.57542091164,7.9079812999999985,9.19114773197281,7.9478868372972995,4.848787940979004,0
Thies,1979,746147.5047921998,521186.9228369001,224960.5819553,30.1496126,50814.076665393215,40063.57542091164,7.9079812999999985,9.19114773197281,7.9478868372972995,4.848787940979004,0
Thies,1980,766297.9643066,532228.0535062001,234069.9108004,30.5455478,50814.076665393215,40063.57542091164,7.9079812999999985,9.19114773197281,7.9478868372972995,4.848787940979004,0
