Region,Date,Taux d'urbainisation,Superficie agricole,Superficie perdue,Risque déforestation
Kaolack,2007,23.3998571,241294.44444444447,6.705023609260107,0
Kaolack,2008,31.671712,335384.0,4.7081005554199225,0
Kaolack,2009,31.6710904,355085.0,6.58234263305664,0
Kaolack,2010,31.67,323594.0,3.1421925537109368,0
Kaolack,2011,29.97801409800463,281123.0,3.963276043701172,0
Kaolack,2012,29.97801409800463,262109.0,10.350082585712508,0
Kaolack,2013,35.255366202679895,260180.0,20.34269414672854,0
Kaolack,2014,35.899946303197204,319121.0,18.327228924560547,0
Kaolack,2015,36.2999874713211,316397.0,6.732812719726563,0
Kaolack,2016,36.7000621716412,343298.5882352941,0.4486161865234375,0
Kaolack,2017,37.09998674599429,343150.5882352941,0.07477611083984376,0
Kaolack,2018,37.4999553732404,362607.58823529404,7.857227347668222,0
